MGE_Type	Element_Type	CrossedLineage	CrossedName
ICE	10270-RD.1	Phylum	Firmicutes
ICE	10270-RD.2	Phylum	Firmicutes
ICE	10750-RD.1	Phylum	Firmicutes
ICE	10750-RD.2	Phylum	Firmicutes
ICE	2096-RD.1	Phylum	Firmicutes
ICE	2096-RD.2	Phylum	Firmicutes
ICE	370-RD.1	Phylum	Firmicutes
ICE	5005-RD.1	Phylum	Firmicutes
ICE	6180-RD.0	Phylum	Firmicutes
ICE	6180-RD.2	Phylum	Firmicutes
ICE	9429-RD.1	Phylum	Firmicutes
ICE	CMGETZ080501	Phylum	Firmicutes
ICE	CTn1	Phylum	Firmicutes
ICE	CTn2	Phylum	Firmicutes
ICE	CTn341	Phylum	Bacteroidetes
ICE	CTn4	Phylum	Firmicutes
ICE	CTn5	Phylum	Firmicutes
ICE	CTn6	Phylum	Firmicutes
ICE	CTn7	Phylum	Firmicutes
ICE	CTnPg1-b	Phylum	Bacteroidetes
ICE	CTnPg3	Phylum	Bacteroidota
ICE	CTnPi1	Phylum	Bacteroidetes;Bacteroidota
ICE	CTnPi2	Phylum	Bacteroidetes
ICE	CTnPi3	Phylum	Bacteroidetes
ICE	CTnPi4	Phylum	Bacteroidetes;Bacteroidota
ICE	HPI-ICEEh1	Genus	Citrobacter;Cronobacter;Enterobacter;Escherichia;Klebsiella;Salmonella;Shigella
ICE	ICE(Tn4371)6033	Order	Pseudomonadales
ICE	ICE(Tn4371)6038	Class	Betaproteobacteria;Gammaproteobacteria
ICE	ICE(Tn4371)6041	Order	Pseudomonadales
ICE	ICE(Tn4371)6042	Order	Pseudomonadales
ICE	ICE(Tn4371)6064	Class	Betaproteobacteria
ICE	ICE(Tn4371)6068	Order	Xanthomonadales
ICE	ICE(Tn4371)6069	Order	Pseudomonadales
ICE	ICE(Tn4371)6070	Order	Pseudomonadales
ICE	ICE(Tn4371)6071	Order	Pseudomonadales
ICE	ICE6441	Order	Pseudomonadales
ICE	ICEAdeK601-1	Order	Pseudomonadales
ICE	ICEAspMex1	Order	Enterobacterales;Vibrionales
ICE	ICEAxyA8-1	Order	Pseudomonadales
ICE	ICEBat1942-1	Phylum	Firmicutes
ICE	ICEBfrYCH46-1	Phylum	Bacteroidetes
ICE	ICEBglBSR3-1	Class	Betaproteobacteria
ICE	ICEBp7061	Phylum	Firmicutes
ICE	ICEBs1	Phylum	Firmicutes
ICE	ICEBsa18170-1	Phylum	Bacteroidetes;Proteobacteria
ICE	ICEBvu8482-2	Phylum	Bacteroidetes
ICE	ICEBxyXB1A-1	Phylum	Bacteroidetes
ICE	ICEC(27343)	Phylum	Tenericutes
ICE	ICECdiM68-1	Phylum	Firmicutes
ICE	ICECkoBAA-1	Genus	Klebsiella
ICE	ICECmeCH34-1	Order	Pseudomonadales
ICE	ICECp1	Phylum	Firmicutes
ICE	ICEEc1	Genus	Escherichia;Klebsiella;Salmonella
ICE	ICEEc2	Genus	Escherichia
ICE	ICEEcIHE3034-1	Genus	Citrobacter;Escherichia;Klebsiella
ICE	ICEEcUMNK88	Genus	Escherichia
ICE	ICEEcoED1a-1	Genus	Citrobacter;Cronobacter;Enterobacter;Escherichia;Klebsiella;Salmonella;Shigella
ICE	ICEEcoUMN026-1	Genus	Escherichia;Klebsiella
ICE	ICEEfaV583-1	Phylum	Firmicutes
ICE	ICEFal35896-1	Phylum	Firmicutes
